Etape;Souhait EQXT;Obtenus EQXT;Souhait EQ6;Obtenus EQ6;Souhait EQ4T;Obtenus EQ4T;Souhait EQ5;Obtenus EQ5;Souhait EQXP;Obtenus EQXP;Souhait EQ2;Obtenus EQ2;Souhait EQ1;Obtenus EQ1;Souhait EQ3;Obtenus EQ3;
0;20000.0;205.76131687242798;25000.0;257.201646090535;1000.0;10.2880658436214;51200.0;526.7489711934156;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;
1;19999.238683127573;279.0945621006168;0.0;0.0;1000.0;13.955259323749956;50658.333333333336;706.9501785756332;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;
2;19999.144121026955;1417.8454015953098;0.0;0.0;1000.0;70.89530396976326;50658.333333333336;3591.4379402682575;0.0;0.0;4080.17864583333;6696.418401041663;1000.0;1000.0;0.0;0.0;
3;19999.298719431645;2033.3570339724436;0.0;0.0;1000.0;101.6714167080669;50658.333333333336;5150.504518069489;0.0;0.0;6285.53296875;2309.662577083333;1000.0;1000.0;0.0;0.0;
4;19999.941685459202;2148.082955769735;0.0;0.0;1000.0;107.40446095057773;50658.333333333336;5440.9309843213505;0.0;0.0;6696.418401041663;7725.431666497393;1000.0;1000.0;0.0;0.0;
5;19999.858729689466;923.729472917634;0.0;0.0;1000.0;46.18679988705983;50658.333333333336;2339.7463042786394;0.0;0.0;2309.662577083333;1137.0699123649229;1000.0;1000.0;0.0;0.0;
6;19999.129256771834;2447.628288907008;0.0;0.0;1000.0;122.38674281672667;50294.79903710938;6155.416634773657;0.0;0.0;7725.431666497393;4171.872968009191;1000.0;1000.0;0.0;0.0;
7;19999.500967864824;280.52033565754147;0.0;0.0;1000.0;14.026366763264807;50294.79903710938;705.4532975791938;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;
8;19580.980632207284;590.4121938260142;0.0;0.0;1000.0;30.152330208370138;50294.79903710938;1516.5053883305384;0.0;0.0;1137.0699123649229;7794.99715497068;1000.0;1000.0;0.0;0.0;
9;19580.56843838127;276.26761081912434;0.0;0.0;1000.0;14.109274288359906;50294.79903710938;709.6231148925159;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;
10;19156.300827562143;1406.2797402372773;0.0;0.0;1000.0;73.4108193902404;50294.79903710938;3692.182408381673;0.0;0.0;4171.872968009191;2833.3182118154823;1000.0;1000.0;0.0;0.0;
11;19156.02108732487;2320.889027614099;0.0;0.0;1000.0;121.15715560314256;50294.79903710938;6093.5747929678455;0.0;0.0;7535.620976185088;7531.591393451369;1000.0;1000.0;0.0;0.0;
12;19156.13205971077;2391.4251287021416;0.0;0.0;1000.0;124.83862197482934;50294.79903710938;6278.733404293708;0.0;0.0;7794.99715497068;8078.232134274955;1000.0;1000.0;0.0;0.0;
13;19156.706931008626;2392.9190669619584;0.0;0.0;1000.0;124.9128608366703;50836.46570377604;6350.128365883939;0.0;0.0;7867.960293682569;8051.964133985315;1000.0;1000.0;0.0;0.0;
14;19156.78786404667;1034.3808757684474;0.0;0.0;1000.0;53.995528013846545;50836.46570377604;2744.941808033188;0.0;0.0;2833.3182118154823;8183.451916205956;1000.0;1000.0;0.0;0.0;
15;19156.40698827822;2316.2260135012534;0.0;0.0;1000.0;120.91129693154613;50404.33969101285;6094.454083018571;0.0;0.0;7531.591393451369;8269.89614833802;1000.0;1000.0;0.0;0.0;
16;19156.180974776966;2464.611315992196;0.0;0.0;1000.0;128.65880309010242;50404.33969101285;6484.962015192657;0.0;0.0;8078.232134274955;0.0;1000.0;1000.0;0.0;0.0;
17;19156.56965878477;2457.5162519785245;0.0;0.0;1000.0;128.28582025652815;50404.33969101285;6466.162061750263;0.0;0.0;8051.964133985315;0.0;1000.0;1000.0;0.0;0.0;
18;19156.053406806248;2480.38570098212;0.0;0.0;1000.0;129.48312725526364;50767.87398723681;6573.583087968572;0.0;0.0;8183.451916205956;0.0;1000.0;1000.0;0.0;0.0;
19;19156.667705824126;2503.792283208851;0.0;0.0;1000.0;130.70082551192522;50767.87398723681;6635.403039617245;0.0;0.0;8269.89614833802;0.0;1000.0;1000.0;0.0;0.0;
